influence	blend_in	special	leader	authority
354	yes	no	yes	yes	yes
355	yes	yes	yes	yes	yes
356	yes	no	yes	yes	yes
357	no	yes	no	no	no
358	yes	yes	no	no	yes
359	yes	yes	yes	yes	yes
360	no	yes	yes	yes	no
361	no	yes	yes	no	no
362	yes	no	yes	yes	yes
363	no	yes	no	no	yes
364	yes	no	yes	no	no
365	yes	yes	no	no	no
366	yes	yes	yes	yes	no
367	yes	no	no	yes	no
368	yes	no	yes	yes	yes
369	yes	yes	no	no	yes
370	no	yes	no	no	no
371	yes	no	yes	yes	yes
372	yes	yes	no	no	no
373	yes	yes	yes	yes	yes
374	yes	no	yes	no	no
375	no	yes	no	yes	yes
376	no	no	no	no	no
377	no	yes	yes	yes	yes
378	yes	no	yes	yes	yes
379	yes	yes	no	no	no
380	yes	no	yes	no	no
381	yes	yes	yes	no	no
382	no	yes	yes	no	no
383	yes	yes	no	yes	no
384	yes	yes	yes	yes	yes
385	no	no	yes	no	no
386	no	yes	no	yes	yes
387	yes	yes	yes	no	yes
388	no	yes	no	no	no
389	no	yes	no	no	yes
390	yes	yes	yes	yes	yes
391	no	yes	yes	yes	yes
392	no	yes	yes	no	yes
393	yes	yes	no	yes	yes
394	no	no	yes	yes	no
395	yes	no	yes	yes	yes
396	no	yes	no	no	no
397	yes	yes	yes	yes	no
398	yes	no	yes	yes	yes
399	no	yes	yes	no	no
400	no	yes	yes	no	no
401	yes	no	yes	yes	yes
402	yes	no	no	no	no
403	no	yes	no	no	no
404	no	yes	no	no	no
405	no	yes	no	no	no
406	no	yes	yes	no	no
407	yes	yes	no	no	no
408	yes	yes	yes	no	no
409	no	yes	no	yes	no
410	yes	yes	no	yes	no
411	no	yes	no	no	yes
412	yes	yes	yes	yes	yes
413	no	no	no	no	no
414	yes	yes	no	yes	no
415	yes	no	yes	yes	no
416	no	yes	yes	no	no
417	no	yes	no	no	no
418	no	yes	no	no	no
419	no	yes	yes	no	yes
420	no	yes	yes	yes	yes
421	yes	yes	yes	yes	no
422	no	yes	no	no	no
423	yes	no	yes	yes	yes
424	yes	yes	no	no	yes
425	no	yes	no	yes	yes
426	yes	yes	no	yes	yes
427	yes	yes	no	no	no
428	yes	yes	no	no	no
429	no	yes	yes	yes	no
430	no	no	no	no	yes
431	no	yes	yes	yes	yes
432	yes	no	yes	no	yes
433	yes	no	no	no	yes
434	yes	yes	yes	no	no
435	no	yes	no	no	no
436	yes	no	no	yes	no
437	no	yes	no	no	yes
438	no	yes	no	no	no
439	yes	no	no	no	yes
440	yes	yes	no	yes	yes
441	yes	yes	no	yes	yes
442	yes	no	no	yes	no
443	no	yes	no	no	yes
444	yes	no	yes	yes	no
445	no	yes	no	yes	yes
446	no	yes	no	no	no
447	yes	yes	no	yes	yes
448	no	yes	no	no	no
449	yes	yes	yes	yes	yes
450	yes	yes	no	yes	yes
451	no	yes	no	no	no
452	yes	no	yes	yes	no
453	yes	yes	no	no	no
454	no	yes	no	no	yes
455	yes	no	no	yes	no
456	yes	no	yes	yes	yes
457	yes	yes	no	yes	no
458	no	yes	yes	yes	no
459	yes	yes	no	yes	no
460	no	yes	yes	no	yes
461	yes	yes	yes	no	yes
462	yes	yes	yes	yes	yes
463	yes	no	yes	yes	no
464	yes	no	yes	yes	yes
465	yes	yes	yes	yes	no
466	no	yes	yes	yes	yes
467	no	yes	no	no	yes
468	no	yes	no	yes	no
469	yes	no	yes	yes	yes
470	no	yes	yes	no	no
471	yes	yes	yes	no	no
472	yes	no	yes	yes	yes
473	yes	yes	no	no	no
474	no	yes	no	no	no
475	yes	yes	yes	no	no
476	yes	yes	yes	yes	yes
477	yes	yes	no	yes	no
478	yes	no	yes	yes	yes
479	yes	yes	no	no	no
480	yes	yes	no	no	no
481	yes	yes	no	yes	yes
482	yes	yes	yes	yes	no
483	no	yes	yes	no	yes
484	no	yes	no	no	no
485	yes	yes	no	yes	no
486	no	yes	no	no	no
487	no	no	yes	no	no
488	yes	no	yes	no	yes
489	yes	no	yes	yes	yes
490	yes	yes	no	yes	yes
491	no	yes	no	no	no
492	yes	yes	yes	yes	yes
493	yes	yes	yes	yes	yes
494	yes	yes	no	yes	yes
495	yes	yes	no	yes	no
496	yes	no	yes	yes	yes
497	no	yes	no	yes	no
498	no	yes	no	no	no
499	no	no	yes	no	no
500	yes	yes	yes	no	yes
501	no	yes	yes	no	yes
502	yes	yes	no	yes	no
503	no	yes	yes	no	no
504	yes	yes	no	no	no
505	yes	yes	no	no	no
506	yes	no	yes	yes	yes
507	yes	yes	yes	yes	yes
508	yes	no	no	yes	yes
509	yes	yes	yes	no	yes
510	yes	yes	yes	yes	no
511	no	yes	no	no	no
512	yes	yes	yes	yes	yes
513	no	yes	no	yes	no
514	yes	yes	no	yes	no
515	yes	yes	no	yes	no
516	yes	yes	no	yes	no
517	no	yes	yes	no	yes
518	no	yes	no	no	yes
519	yes	no	yes	yes	yes
520	yes	yes	yes	yes	yes
521	no	yes	no	no	yes
522	yes	no	yes	yes	yes
523	yes	no	no	yes	yes
524	yes	yes	no	yes	no
525	yes	no	yes	yes	yes
526	no	yes	yes	no	yes
527	yes	yes	yes	no	yes
528	no	yes	yes	no	yes
529	no	no	yes	yes	yes
530	yes	no	yes	yes	yes
531	yes	yes	no	no	yes
532	no	yes	yes	yes	no
533	yes	yes	no	yes	no
534	no	no	no	no	no
535	yes	yes	yes	yes	no
536	no	yes	yes	no	no
537	yes	no	no	no	no
538	yes	yes	no	yes	no
539	no	yes	no	no	yes
540	yes	no	no	no	no
541	yes	yes	no	no	no
542	yes	yes	no	yes	no
543	yes	yes	no	yes	no
544	no	yes	no	no	no
545	yes	yes	yes	no	yes
546	no	no	no	yes	no
547	no	yes	no	yes	no
548	no	yes	yes	no	yes
549	no	yes	no	no	no
550	no	yes	no	no	no
551	yes	yes	no	yes	yes
552	yes	no	yes	yes	yes
553	yes	yes	no	no	yes
554	no	yes	yes	no	no
555	no	no	no	no	yes
556	no	no	yes	no	yes
557	yes	yes	yes	no	no
558	yes	yes	yes	no	yes
559	yes	yes	no	no	no
560	yes	yes	no	yes	yes
561	yes	yes	yes	yes	yes
562	yes	yes	no	yes	no
563	no	no	yes	yes	no
564	yes	yes	no	yes	yes
565	no	yes	no	no	no
566	yes	no	yes	yes	yes
567	yes	no	no	yes	yes
568	yes	yes	yes	yes	yes
569	yes	no	yes	yes	no
570	yes	no	yes	no	no
571	yes	no	yes	no	no
572	yes	no	yes	no	yes
573	yes	yes	yes	yes	yes
574	yes	yes	no	no	yes
575	yes	yes	yes	yes	yes
576	yes	no	no	no	no
577	yes	yes	no	no	yes
578	yes	no	yes	no	no
579	yes	yes	yes	no	no
580	yes	yes	yes	no	no
581	no	no	no	yes	no
582	yes	no	yes	yes	yes
583	yes	no	yes	yes	yes
584	yes	yes	yes	yes	yes
585	no	no	yes	no	no
586	yes	yes	yes	yes	yes
587	no	yes	no	no	no
588	yes	yes	no	yes	yes
589	yes	no	no	yes	yes
590	yes	yes	no	no	no
591	yes	yes	no	no	yes
592	yes	yes	yes	no	no
593	yes	yes	yes	no	no
594	yes	no	yes	yes	yes
595	yes	yes	yes	yes	yes
596	yes	no	yes	yes	yes
597	yes	yes	no	no	no
598	no	no	yes	no	no
599	no	yes	no	yes	no
600	no	yes	no	no	no
601	yes	yes	no	no	no
602	yes	yes	no	no	no
603	no	no	yes	no	no
604	yes	yes	no	yes	yes
605	no	no	yes	yes	yes
606	yes	yes	no	yes	no
607	yes	no	yes	yes	yes
608	yes	yes	no	no	no
609	yes	yes	no	yes	no
610	no	yes	no	no	no
611	no	yes	no	no	no
612	no	yes	no	no	yes
613	yes	yes	no	yes	yes
614	yes	no	yes	no	no
615	yes	yes	no	yes	yes
616	no	yes	no	no	no
617	yes	no	yes	no	no
618	no	yes	no	no	no
619	no	yes	yes	yes	no
620	yes	no	yes	yes	yes
621	yes	no	yes	yes	no
622	no	no	yes	yes	yes
623	yes	yes	yes	yes	yes
624	no	yes	no	yes	no
625	no	no	yes	no	yes
626	yes	no	no	no	yes
627	yes	yes	no	yes	no
628	no	yes	no	no	no
629	yes	no	no	yes	no
630	yes	yes	no	no	no
631	no	yes	yes	no	yes
632	yes	no	no	yes	yes
633	no	yes	no	no	no
634	yes	no	yes	yes	yes
635	yes	no	yes	yes	no
636	no	no	yes	no	yes
637	no	yes	no	yes	yes
638	yes	yes	yes	no	no
639	yes	yes	yes	yes	no
640	no	yes	no	yes	no
641	no	yes	no	no	yes
642	yes	no	yes	no	yes
643	yes	no	no	yes	yes
644	no	yes	no	no	no
645	yes	no	yes	yes	no
646	no	yes	yes	yes	yes
