influence	blend_in	special	leader	authority
6123	yes	yes	no	yes	no
6124	yes	yes	yes	yes	no
6125	yes	no	yes	yes	yes
6126	no	yes	no	yes	no
6127	no	yes	yes	yes	yes
6128	yes	yes	yes	yes	no
6129	yes	yes	yes	no	yes
6130	yes	yes	yes	yes	no
6131	no	no	no	no	no
6132	yes	no	no	no	no
6133	yes	yes	yes	no	no
6134	yes	yes	no	no	no
6135	yes	no	yes	yes	yes
6136	no	yes	yes	no	yes
6137	yes	yes	yes	yes	yes
6138	yes	no	no	yes	yes
6139	yes	yes	no	no	no
6140	no	yes	no	no	no
6141	no	yes	yes	no	no
6142	yes	yes	no	yes	no
6143	yes	yes	yes	yes	yes
6144	yes	no	yes	yes	yes
6145	no	yes	no	yes	no
6146	yes	yes	no	yes	yes
6147	yes	no	yes	yes	yes
6148	yes	yes	no	yes	no
6149	yes	yes	no	yes	yes
6150	yes	no	yes	yes	yes
6151	yes	yes	yes	yes	no
6152	no	yes	no	no	no
6153	no	yes	no	no	yes
6154	yes	yes	no	no	no
6155	yes	no	no	no	no
6156	yes	yes	no	yes	no
6157	yes	yes	no	no	no
6158	yes	yes	no	no	no
6159	no	yes	no	no	no
6160	yes	no	yes	yes	yes
6161	no	yes	no	yes	no
6162	yes	yes	no	yes	no
6163	yes	yes	no	yes	no
6164	no	no	yes	yes	yes
6165	yes	yes	no	no	no
6166	no	yes	no	no	yes
6167	yes	no	yes	no	no
6168	no	yes	no	yes	yes
6169	yes	yes	no	no	yes
6170	no	yes	yes	yes	no
6171	yes	no	no	yes	no
6172	yes	yes	no	yes	yes
6173	no	yes	no	no	no
6174	yes	yes	no	yes	yes
6175	yes	yes	no	no	no
6176	no	yes	no	yes	no
6177	yes	no	yes	no	yes
6178	yes	yes	yes	no	no
6179	yes	no	yes	yes	no
6180	yes	no	yes	yes	yes
6181	yes	yes	yes	no	no
6182	yes	yes	yes	yes	no
6183	yes	no	yes	no	no
6184	no	yes	no	no	yes
6185	yes	yes	no	yes	no
6186	yes	yes	no	yes	no
6187	yes	no	yes	yes	no
6188	yes	no	yes	yes	yes
6189	yes	no	no	yes	no
6190	no	yes	no	yes	no
6191	no	yes	no	no	no
6192	no	yes	yes	yes	yes
6193	no	yes	no	no	no
6194	no	yes	yes	no	no
6195	yes	yes	no	yes	yes
6196	no	no	no	no	no
6197	no	yes	yes	yes	no
6198	yes	no	yes	yes	no
6199	yes	no	no	yes	no
6200	yes	yes	no	yes	no
6201	yes	no	yes	no	no
6202	yes	yes	yes	no	no
6203	yes	yes	no	no	no
6204	yes	no	yes	yes	yes
6205	no	yes	no	no	no
6206	no	yes	yes	no	no
6207	yes	yes	yes	yes	yes
6208	yes	no	yes	yes	yes
6209	yes	yes	no	yes	yes
6210	yes	yes	no	yes	no
6211	yes	no	yes	yes	yes
6212	yes	yes	yes	yes	yes
6213	yes	yes	no	no	no
6214	yes	no	yes	yes	yes
6215	yes	yes	yes	no	yes
6216	yes	no	yes	yes	no
6217	yes	yes	no	yes	no
6218	yes	yes	no	yes	no
6219	yes	yes	yes	yes	yes
6220	no	no	yes	no	no
6221	yes	yes	no	yes	no
6222	yes	no	no	yes	no
6223	yes	no	no	yes	no
6224	yes	no	yes	yes	no
6225	yes	yes	yes	yes	yes
6226	no	yes	no	no	no
6227	no	yes	yes	no	no
6228	yes	yes	yes	no	no
6229	yes	yes	no	yes	no
6230	no	yes	yes	yes	no
6231	no	yes	no	yes	no
6232	yes	yes	yes	yes	yes
6233	no	yes	no	yes	no
6234	no	yes	yes	yes	yes
6235	yes	yes	no	yes	yes
6236	yes	yes	no	yes	no
6237	yes	no	yes	yes	yes
6238	yes	yes	no	yes	no
6239	yes	yes	no	no	no
6240	no	yes	yes	no	no
6241	yes	no	no	yes	no
6242	no	yes	yes	no	yes
6243	yes	yes	yes	no	no
6244	yes	yes	no	no	no
6245	no	yes	no	yes	no
6246	yes	no	yes	yes	yes
6247	yes	yes	no	no	yes
6248	yes	yes	no	yes	yes
6249	yes	yes	yes	no	yes
6250	no	yes	no	no	no
6251	no	yes	yes	no	no
6252	yes	no	yes	yes	yes
6253	yes	yes	yes	yes	yes
6254	no	yes	no	no	no
6255	no	no	yes	no	no
6256	yes	yes	no	yes	no
6257	no	yes	yes	no	no
6258	yes	yes	no	yes	no
6259	no	yes	yes	yes	no
6260	yes	no	yes	no	no
6261	yes	no	yes	yes	yes
6262	yes	yes	no	yes	no
6263	yes	yes	yes	no	yes
6264	no	no	yes	no	yes
6265	yes	no	yes	yes	yes
6266	no	yes	no	yes	no
6267	no	no	yes	no	no
6268	yes	yes	yes	yes	no
6269	yes	no	no	yes	no
6270	yes	no	yes	yes	no
6271	no	no	no	no	no
6272	yes	yes	yes	no	yes
6273	no	yes	no	no	yes
6274	yes	yes	yes	no	no
6275	yes	no	yes	no	yes
6276	yes	no	no	yes	yes
6277	no	yes	yes	yes	yes
6278	no	yes	no	no	no
6279	no	yes	yes	no	no
6280	yes	yes	yes	no	no
6281	yes	yes	yes	no	no
6282	yes	no	yes	yes	yes
6283	yes	yes	no	yes	no
6284	yes	yes	yes	no	no
6285	yes	no	yes	no	yes
6286	no	yes	no	no	yes
6287	no	yes	no	no	no
6288	yes	yes	no	no	no
6289	yes	yes	yes	no	yes
6290	yes	no	yes	yes	yes
6291	no	yes	no	no	no
6292	yes	no	no	yes	no
6293	no	no	no	no	no
6294	yes	no	no	yes	no
6295	yes	no	yes	yes	yes
6296	no	yes	no	yes	no
6297	yes	yes	no	yes	no
6298	yes	yes	no	no	no
6299	no	yes	no	yes	no
6300	yes	no	yes	yes	yes
6301	no	yes	yes	no	no
6302	yes	yes	yes	yes	no
6303	yes	yes	yes	yes	yes
6304	no	yes	no	yes	yes
6305	yes	yes	yes	yes	no
6306	no	yes	no	no	no
6307	yes	no	no	no	no
6308	no	yes	yes	no	no
6309	no	no	no	no	yes
6310	yes	no	no	no	no
6311	no	yes	no	no	no
6312	yes	yes	yes	yes	yes
6313	yes	no	yes	yes	yes
6314	yes	yes	yes	yes	no
6315	yes	yes	no	yes	no
6316	yes	yes	yes	no	no
6317	yes	yes	no	no	yes
6318	yes	yes	no	no	no
6319	no	no	yes	no	yes
6320	yes	yes	yes	yes	yes
6321	yes	no	yes	yes	yes
6322	yes	yes	no	no	no
6323	yes	yes	no	no	no
6324	no	yes	no	yes	no
6325	yes	yes	yes	yes	yes
6326	yes	yes	yes	yes	no
6327	yes	yes	no	no	no
6328	no	yes	no	no	no
6329	no	yes	yes	no	yes
6330	no	yes	no	no	no
6331	no	yes	no	no	no
6332	yes	yes	no	no	yes
6333	no	yes	no	no	no
6334	yes	yes	yes	no	yes
6335	yes	yes	no	yes	no
6336	no	yes	no	no	no
6337	no	yes	no	yes	no
6338	yes	no	yes	yes	yes
6339	no	yes	yes	no	no
6340	yes	yes	no	no	no
6341	no	yes	yes	no	no
6342	no	no	no	yes	yes
6343	no	no	yes	no	yes
6344	yes	no	yes	no	yes
6345	yes	yes	yes	yes	no
6346	yes	yes	no	yes	yes
6347	no	no	yes	yes	yes
6348	yes	yes	yes	yes	no
6349	yes	yes	yes	yes	no
6350	yes	yes	yes	no	yes
6351	yes	yes	no	yes	no
6352	yes	no	yes	yes	yes
6353	yes	no	no	no	yes
6354	yes	yes	yes	yes	no
6355	yes	no	yes	yes	yes
6356	yes	no	yes	yes	yes
6357	no	yes	no	no	no
6358	yes	yes	no	yes	no
6359	no	yes	yes	no	no
6360	yes	no	yes	yes	yes
6361	no	yes	no	no	no
6362	no	no	no	no	yes
6363	yes	yes	no	no	no
6364	no	yes	no	no	no
6365	yes	yes	no	yes	no
6366	no	yes	no	no	no
6367	yes	yes	no	no	yes
6368	no	no	yes	yes	no
6369	no	yes	no	no	yes
6370	no	no	yes	no	yes
6371	no	no	no	yes	no
6372	no	yes	no	yes	no
6373	no	yes	no	no	yes
6374	no	yes	no	yes	no
6375	yes	yes	no	no	no
6376	yes	yes	yes	yes	no
6377	yes	no	yes	yes	yes
6378	no	yes	no	no	no
6379	no	yes	no	yes	yes
6380	yes	yes	yes	no	no
6381	yes	no	yes	yes	yes
6382	no	yes	no	no	no
6383	yes	yes	yes	yes	yes
6384	no	no	no	yes	no
6385	yes	yes	no	no	no
6386	no	no	no	no	yes
6387	no	yes	no	no	no
6388	yes	no	yes	no	yes
6389	yes	no	yes	no	no
6390	yes	yes	no	no	no
6391	no	yes	yes	no	no
6392	yes	no	yes	yes	yes
6393	no	yes	no	no	no
6394	yes	yes	yes	yes	no
6395	yes	yes	no	yes	yes
6396	no	no	yes	no	yes
6397	yes	no	no	yes	yes
6398	yes	no	yes	yes	yes
6399	yes	yes	no	no	no
6400	yes	yes	yes	yes	yes
6401	yes	yes	no	yes	no
6402	no	yes	no	no	no
6403	yes	no	yes	no	no
6404	yes	yes	no	no	yes
6405	yes	yes	no	yes	yes
6406	yes	no	no	yes	yes
6407	yes	no	no	yes	yes
6408	yes	yes	no	yes	yes
6409	no	yes	no	no	no
6410	no	yes	no	no	no
6411	no	yes	no	no	no
6412	no	yes	no	yes	yes
6413	yes	yes	no	yes	no
6414	no	yes	no	yes	no
6415	yes	no	yes	yes	yes
6416	yes	yes	no	no	no
6417	yes	no	yes	yes	yes
6418	yes	yes	no	yes	no
6419	no	no	yes	no	no
6420	no	yes	no	no	yes
6421	yes	yes	no	yes	yes
6422	yes	no	yes	yes	yes
6423	no	no	no	no	no
6424	yes	no	yes	yes	yes
6425	no	yes	yes	no	no
6426	yes	no	yes	yes	yes
6427	yes	yes	yes	no	no
6428	no	yes	no	no	no
6429	yes	no	yes	yes	no
6430	yes	yes	yes	yes	yes
6431	no	yes	yes	no	yes
6432	yes	no	yes	yes	no
6433	no	yes	yes	no	yes
6434	yes	no	yes	no	no
6435	yes	yes	no	no	no
6436	yes	yes	yes	yes	yes
6437	yes	no	yes	yes	yes
6438	yes	yes	yes	yes	no
6439	yes	yes	yes	yes	yes
6440	no	yes	yes	yes	no
6441	no	yes	no	no	no
6442	yes	no	yes	yes	no
6443	no	yes	yes	no	no
6444	no	yes	yes	yes	yes
6445	yes	yes	no	no	yes
6446	yes	yes	no	yes	yes
6447	no	yes	no	no	no
6448	yes	no	yes	no	no
6449	yes	no	no	no	no
6450	yes	yes	no	no	no
6451	no	yes	no	yes	no
6452	no	yes	no	no	yes
6453	no	yes	yes	no	no
6454	no	no	yes	no	no
6455	no	yes	no	no	no
6456	no	yes	no	no	no
6457	yes	yes	no	yes	no
6458	no	yes	no	no	no
6459	yes	no	yes	yes	yes
6460	yes	no	yes	no	no
6461	no	yes	yes	no	no
6462	yes	yes	no	no	no
6463	no	yes	no	yes	no
6464	yes	yes	yes	no	no
6465	yes	yes	yes	yes	yes
6466	no	yes	no	no	no
6467	no	yes	yes	yes	yes
6468	yes	yes	yes	yes	no
6469	no	yes	no	no	no
6470	yes	yes	no	yes	yes
6471	yes	yes	no	yes	no
6472	no	yes	no	no	no
6473	yes	no	yes	yes	no
6474	yes	yes	yes	yes	no
6475	yes	yes	no	yes	no
6476	no	yes	no	no	no
6477	yes	no	yes	no	no
6478	no	yes	no	no	yes
6479	yes	no	no	yes	no
6480	no	no	yes	yes	yes
6481	yes	no	yes	yes	no
6482	yes	no	yes	yes	yes
6483	yes	yes	no	yes	yes
6484	yes	yes	no	yes	no
6485	no	yes	no	yes	yes
6486	yes	no	no	no	yes
6487	yes	yes	no	yes	no
6488	no	yes	yes	no	no
6489	yes	yes	yes	yes	yes
6490	yes	yes	yes	no	no
6491	no	yes	no	yes	yes
6492	yes	yes	no	no	no
6493	yes	yes	yes	no	no
6494	yes	yes	no	no	no
6495	yes	no	yes	yes	yes
6496	no	no	no	no	yes
6497	yes	yes	yes	yes	yes
6498	no	yes	no	yes	yes
6499	no	yes	no	no	no
6500	yes	yes	yes	yes	no
6501	yes	yes	no	no	no
6502	no	yes	yes	no	no
6503	yes	yes	yes	yes	no
6504	yes	no	no	yes	yes
6505	no	yes	no	yes	no
6506	yes	no	no	no	no
6507	yes	yes	yes	no	yes
6508	no	yes	no	no	no
6509	no	yes	no	yes	no
6510	no	yes	yes	no	no
6511	yes	no	no	yes	no
6512	yes	yes	yes	yes	no
6513	no	yes	no	no	no
6514	no	yes	no	no	yes
6515	yes	yes	no	yes	no
6516	no	yes	yes	no	yes
6517	no	yes	no	no	no
6518	no	yes	no	no	no
6519	yes	yes	yes	no	no
6520	yes	yes	yes	yes	no
6521	yes	yes	no	yes	no
6522	yes	no	yes	no	no
6523	no	yes	no	no	no
6524	no	yes	no	no	no
6525	yes	no	yes	yes	yes
6526	yes	yes	no	no	no
6527	no	yes	yes	yes	no
6528	yes	no	yes	yes	yes
6529	yes	no	yes	yes	yes
6530	no	yes	no	yes	no
6531	no	no	yes	yes	no
6532	no	yes	no	no	no
6533	no	yes	no	no	no
6534	no	yes	no	yes	no
6535	yes	yes	yes	yes	no
6536	yes	no	no	yes	no
6537	no	yes	no	yes	no
6538	yes	yes	no	yes	yes
6539	no	yes	no	no	no
6540	no	yes	no	no	no
6541	yes	yes	yes	yes	yes
6542	yes	no	no	yes	no
6543	yes	yes	no	yes	no
6544	no	yes	no	no	no
6545	no	no	yes	yes	yes
6546	no	yes	no	no	no
6547	no	no	yes	no	yes
6548	yes	yes	yes	no	no
6549	yes	yes	no	yes	no
6550	yes	no	no	no	no
6551	yes	no	yes	yes	no
6552	yes	yes	yes	yes	no
6553	yes	yes	yes	no	no
6554	yes	no	no	yes	yes
6555	no	yes	no	no	no
6556	yes	no	no	yes	no
6557	yes	yes	yes	yes	no
6558	yes	yes	yes	yes	no
6559	no	yes	no	no	yes
6560	no	yes	no	no	no
6561	yes	no	no	yes	no
6562	yes	no	yes	yes	no
6563	yes	no	yes	yes	no
6564	no	yes	yes	no	no
6565	yes	yes	yes	yes	yes
6566	yes	yes	yes	no	yes
6567	no	yes	no	no	no
6568	no	yes	yes	no	yes
6569	no	yes	yes	yes	no
6570	yes	yes	no	no	no
6571	yes	yes	no	yes	no
6572	no	no	no	no	yes
6573	no	yes	yes	yes	yes
6574	no	yes	no	no	yes
6575	yes	no	no	no	no
6576	no	no	no	no	yes
6577	yes	yes	no	yes	no
6578	yes	yes	yes	yes	yes
6579	yes	no	yes	no	no
6580	yes	no	no	no	no
6581	yes	yes	no	yes	no
6582	no	yes	no	no	no
6583	no	yes	yes	no	no
6584	yes	no	yes	no	no
6585	no	yes	yes	no	yes
6586	yes	yes	no	yes	yes
6587	yes	yes	yes	yes	no
6588	yes	yes	yes	no	no
6589	yes	no	yes	yes	yes
6590	no	yes	no	no	no
6591	no	yes	yes	yes	no
6592	yes	yes	yes	yes	yes
6593	yes	yes	no	no	no
6594	no	yes	no	yes	yes
6595	yes	yes	yes	yes	yes
6596	no	yes	yes	yes	no
6597	no	yes	no	no	no
6598	yes	no	yes	yes	yes
6599	yes	yes	no	yes	yes
6600	no	yes	no	no	no
6601	yes	yes	yes	yes	no
6602	no	yes	yes	yes	yes
6603	yes	yes	yes	no	no
6604	yes	yes	yes	yes	yes
6605	yes	yes	no	yes	no
6606	yes	no	yes	yes	yes
6607	yes	no	no	no	no
6608	yes	no	yes	yes	yes
6609	yes	no	yes	yes	yes
6610	yes	yes	no	yes	no
6611	yes	no	yes	yes	yes
6612	yes	yes	no	yes	yes
6613	yes	yes	no	yes	no
6614	no	yes	no	yes	no
6615	yes	no	no	no	no
6616	yes	yes	no	yes	yes
6617	yes	no	yes	yes	yes
6618	yes	yes	no	yes	no
6619	no	yes	no	yes	no
6620	yes	yes	yes	yes	no
6621	yes	yes	no	no	no
6622	yes	yes	no	yes	yes
6623	yes	no	yes	yes	yes
6624	yes	no	yes	yes	yes
6625	yes	no	yes	yes	no
6626	yes	yes	yes	no	no
6627	yes	yes	yes	yes	no
6628	yes	no	yes	yes	yes
6629	no	yes	no	yes	no
6630	no	yes	yes	no	no
6631	yes	no	no	no	no
6632	yes	yes	no	no	no
6633	yes	yes	yes	yes	yes
6634	yes	yes	no	yes	yes
6635	yes	no	no	yes	no
6636	no	yes	no	no	no
6637	yes	no	yes	yes	yes
6638	no	yes	yes	yes	yes
6639	no	yes	yes	yes	no
6640	yes	no	no	yes	yes
6641	no	yes	no	no	yes
6642	yes	no	yes	yes	yes
6643	yes	yes	no	yes	no
6644	yes	no	no	yes	yes
6645	no	yes	no	no	no
6646	no	yes	no	no	no
6647	yes	yes	no	no	no
6648	no	no	no	no	yes
6649	no	yes	no	yes	no
6650	yes	no	yes	yes	yes
6651	yes	no	yes	no	yes
6652	yes	no	no	no	no
6653	yes	no	yes	yes	yes
6654	yes	no	yes	yes	no
6655	yes	no	no	yes	no
6656	yes	no	no	yes	no
6657	yes	yes	yes	no	no
6658	no	yes	no	yes	yes
6659	no	yes	no	no	no
6660	no	yes	no	no	no
6661	yes	yes	no	yes	no
6662	yes	no	no	yes	yes
6663	no	yes	yes	no	yes
6664	no	yes	no	no	no
6665	yes	yes	no	no	yes
6666	no	yes	yes	yes	no
6667	yes	yes	no	yes	no
6668	no	no	no	no	yes
6669	yes	no	yes	yes	no
6670	yes	yes	yes	yes	yes
6671	no	yes	yes	no	no
6672	yes	yes	yes	yes	yes
6673	yes	yes	no	no	no
6674	yes	no	yes	no	no
6675	yes	yes	yes	yes	no
6676	no	yes	no	no	no
6677	yes	no	no	yes	yes
6678	no	yes	no	no	no
6679	yes	no	yes	yes	no
6680	no	yes	no	no	yes
6681	yes	yes	no	yes	no
6682	no	no	yes	no	no
6683	yes	no	no	yes	no
6684	no	yes	no	no	yes
6685	no	yes	no	no	yes
6686	no	yes	no	no	no
6687	no	yes	yes	yes	no
6688	yes	no	yes	no	no
6689	yes	no	yes	yes	yes
6690	yes	no	no	yes	yes
6691	yes	yes	yes	no	no
6692	no	yes	yes	yes	no
6693	no	yes	no	no	no
6694	yes	yes	yes	yes	no
6695	yes	yes	no	no	yes
6696	yes	yes	yes	yes	yes
6697	no	yes	no	yes	no
6698	yes	no	yes	yes	yes
6699	no	yes	no	no	no
6700	yes	yes	no	no	no
6701	no	yes	no	no	no
6702	yes	yes	yes	yes	no
6703	yes	yes	no	yes	yes
6704	yes	yes	no	no	no
6705	no	yes	no	no	no
6706	yes	yes	yes	yes	yes
6707	yes	yes	yes	yes	no
6708	no	no	no	yes	no
6709	yes	yes	no	no	no
6710	yes	yes	no	no	no
6711	yes	yes	no	no	no
6712	yes	yes	yes	no	no
6713	yes	yes	no	yes	yes
6714	yes	yes	no	yes	no
6715	yes	no	yes	yes	yes
6716	no	yes	yes	no	yes
6717	yes	yes	no	yes	no
6718	no	yes	no	no	yes
6719	yes	no	yes	yes	no
6720	no	yes	no	no	no
6721	no	yes	no	no	no
6722	yes	yes	no	no	no
6723	no	yes	no	no	no
6724	no	yes	no	no	no
6725	no	yes	no	no	no
6726	no	yes	yes	no	yes
6727	no	yes	no	yes	no
6728	yes	no	yes	yes	no
6729	yes	no	no	yes	no
6730	yes	yes	no	yes	no
6731	yes	yes	no	yes	no
6732	no	yes	no	no	yes
6733	yes	no	no	no	yes
6734	yes	no	no	yes	yes
6735	no	yes	yes	yes	no
6736	yes	yes	no	yes	yes
6737	no	yes	no	no	no
6738	no	yes	yes	no	no
6739	yes	no	no	yes	yes
6740	yes	yes	no	yes	yes
6741	yes	yes	no	yes	no
6742	yes	no	no	no	yes
6743	yes	yes	no	yes	yes
6744	yes	no	no	yes	no
6745	no	yes	yes	no	no
6746	no	yes	no	no	no
6747	no	yes	yes	yes	no
6748	yes	yes	yes	no	no
6749	no	yes	no	no	no
6750	no	yes	yes	no	no
6751	no	yes	yes	no	yes
6752	no	yes	no	yes	no
6753	no	yes	no	no	no
6754	no	no	yes	no	yes
6755	yes	yes	no	no	no
6756	no	yes	yes	no	no
6757	yes	yes	yes	yes	yes
6758	no	yes	no	no	no
6759	no	yes	yes	no	yes
6760	no	yes	yes	no	no
6761	no	yes	no	no	no
6762	no	yes	yes	yes	no
6763	yes	yes	yes	yes	yes
6764	no	yes	no	no	no
6765	no	yes	yes	no	yes
6766	yes	yes	no	yes	yes
6767	yes	yes	no	yes	no
6768	yes	yes	no	yes	yes
6769	no	yes	yes	no	no
6770	yes	yes	yes	no	no
6771	no	yes	no	no	yes
6772	no	yes	yes	no	no
6773	no	yes	yes	yes	no
6774	no	yes	no	no	no
6775	yes	yes	yes	yes	yes
6776	no	yes	yes	no	no
6777	yes	yes	yes	yes	yes
6778	yes	no	no	no	no
6779	yes	yes	yes	no	yes
6780	no	yes	yes	no	yes
6781	no	yes	no	no	yes
6782	no	yes	yes	no	no
6783	yes	yes	no	yes	yes
6784	yes	yes	no	yes	no
6785	yes	yes	no	yes	yes
6786	yes	yes	no	no	yes
6787	no	no	yes	yes	no
6788	no	yes	yes	no	yes
6789	yes	yes	no	no	no
6790	yes	no	no	yes	yes
6791	yes	yes	no	no	yes
6792	no	yes	yes	yes	yes
6793	no	yes	no	no	no
6794	yes	yes	yes	yes	no
6795	yes	yes	no	no	no
6796	no	no	yes	no	no
6797	yes	no	yes	yes	yes
6798	yes	yes	yes	yes	yes
6799	yes	no	yes	yes	yes
6800	yes	yes	yes	yes	yes
6801	no	yes	no	no	no
6802	yes	yes	no	no	no
6803	yes	yes	yes	yes	yes
6804	yes	no	no	yes	yes
6805	yes	no	yes	yes	no
6806	yes	yes	no	no	no
6807	no	yes	no	no	no
6808	no	yes	yes	no	no
6809	no	no	no	yes	no
6810	yes	yes	yes	no	no
6811	no	yes	yes	yes	yes
6812	yes	no	no	yes	yes
6813	no	yes	no	no	yes
6814	yes	yes	yes	yes	yes
6815	no	yes	yes	no	yes
6816	yes	yes	no	no	yes
6817	no	no	yes	no	no
6818	yes	no	yes	yes	yes
6819	yes	no	no	yes	no
6820	yes	yes	no	yes	no
6821	no	yes	yes	no	no
6822	yes	no	no	yes	no
6823	no	yes	yes	no	no
6824	yes	yes	yes	yes	yes
6825	no	yes	no	no	yes
6826	yes	yes	no	no	no
6827	no	yes	no	no	no
6828	yes	yes	yes	yes	yes
6829	no	yes	no	no	no
6830	yes	yes	yes	no	no
6831	yes	yes	no	no	no
6832	yes	no	no	no	no
6833	yes	yes	yes	yes	no
6834	yes	no	yes	yes	yes
6835	no	yes	no	no	no
6836	yes	no	yes	yes	no
6837	yes	no	yes	no	no
6838	no	no	no	no	yes
6839	no	yes	no	yes	no
6840	yes	yes	no	yes	no
6841	no	no	yes	no	no
6842	yes	no	yes	yes	yes
6843	no	yes	no	no	no
6844	yes	yes	yes	yes	no
6845	yes	yes	yes	yes	yes
6846	no	no	no	no	no
6847	no	yes	no	no	yes
6848	no	yes	no	no	no
6849	no	no	no	no	yes
6850	no	yes	yes	no	yes
6851	yes	no	yes	yes	yes
6852	no	yes	no	no	no
6853	no	no	no	yes	yes
6854	yes	yes	yes	yes	yes
6855	yes	yes	no	no	no
6856	yes	no	yes	no	no
6857	no	yes	yes	no	no
6858	no	yes	yes	yes	no
6859	no	no	yes	no	yes
6860	yes	yes	yes	yes	yes
6861	yes	yes	no	yes	no
6862	yes	no	yes	yes	no
6863	yes	no	yes	yes	no
6864	yes	yes	no	yes	yes
6865	yes	yes	yes	yes	yes
6866	yes	no	no	no	yes
6867	no	yes	yes	yes	no
6868	yes	yes	no	no	no
6869	yes	yes	yes	no	yes
6870	no	yes	no	no	no
6871	yes	yes	yes	yes	no
6872	yes	no	yes	yes	yes
6873	no	yes	no	no	no
6874	no	no	no	yes	yes
6875	yes	yes	no	no	no
6876	yes	no	yes	yes	yes
6877	yes	yes	no	no	no
6878	yes	yes	no	yes	no
6879	yes	yes	yes	yes	yes
6880	yes	no	no	yes	yes
6881	yes	yes	yes	no	no
6882	yes	no	yes	no	yes
6883	no	no	no	yes	no
6884	no	yes	no	no	no
6885	no	yes	yes	no	no
6886	no	yes	no	yes	yes
6887	yes	yes	no	yes	no
6888	yes	yes	no	yes	yes
6889	yes	no	yes	yes	yes
6890	no	no	yes	no	no
6891	yes	no	no	yes	no
6892	yes	no	yes	yes	yes
6893	no	yes	no	yes	yes
6894	no	yes	no	no	yes
6895	no	yes	yes	no	no
6896	yes	yes	yes	yes	no
6897	no	yes	no	no	no
6898	no	yes	yes	yes	no
6899	no	yes	no	no	no
6900	yes	yes	no	yes	yes
6901	yes	no	yes	yes	yes
6902	no	yes	no	no	yes
6903	no	yes	no	no	no
6904	no	yes	no	no	yes
6905	yes	no	yes	yes	yes
6906	no	yes	no	yes	no
6907	yes	yes	no	yes	yes
6908	yes	yes	no	yes	yes
6909	no	yes	yes	yes	no
6910	no	no	yes	yes	yes
6911	yes	yes	no	yes	no
6912	yes	yes	no	no	no
6913	no	yes	no	yes	yes
6914	yes	no	no	yes	yes
6915	yes	yes	no	yes	no
6916	yes	yes	yes	no	no
6917	yes	yes	no	yes	no
6918	no	yes	no	no	no
6919	no	yes	no	no	no
6920	yes	yes	no	yes	no
6921	yes	yes	no	no	no
6922	no	yes	yes	yes	yes
6923	yes	no	yes	yes	yes
6924	yes	no	yes	yes	yes
6925	no	yes	no	yes	no
6926	yes	no	yes	yes	no
6927	no	yes	no	no	no
6928	yes	yes	no	yes	no
6929	no	yes	yes	no	no
6930	no	yes	no	no	no
6931	no	no	no	no	yes
6932	yes	yes	yes	yes	no
6933	yes	no	no	no	no
6934	yes	yes	yes	yes	no
6935	yes	yes	yes	yes	yes
6936	yes	yes	yes	no	no
6937	yes	yes	no	yes	yes
6938	yes	yes	no	yes	no
6939	no	yes	yes	no	yes
6940	yes	yes	yes	yes	yes
6941	yes	no	yes	yes	yes
6942	yes	no	yes	no	no
6943	yes	no	yes	no	yes
6944	yes	yes	no	yes	yes
6945	yes	yes	no	no	no
6946	no	yes	no	no	no
6947	yes	no	yes	yes	yes
6948	no	yes	no	no	yes
6949	no	yes	yes	yes	no
6950	no	yes	yes	no	no
6951	no	no	no	yes	yes
6952	yes	no	no	yes	no
6953	no	yes	no	yes	no
6954	yes	yes	no	no	no
6955	yes	yes	yes	no	yes
6956	yes	yes	yes	no	no
6957	no	no	yes	yes	yes
6958	no	yes	no	no	no
6959	no	yes	no	no	yes
6960	yes	no	yes	yes	yes
6961	no	yes	no	yes	no
6962	yes	yes	no	no	no
6963	no	yes	no	no	yes
6964	no	yes	no	no	no
6965	yes	yes	no	no	no
6966	yes	yes	no	yes	yes
6967	no	yes	no	no	no
6968	yes	yes	no	yes	no
6969	yes	yes	no	no	yes
6970	yes	yes	yes	yes	yes
6971	no	yes	yes	no	yes
6972	no	yes	no	no	no
6973	yes	yes	yes	yes	no
6974	yes	yes	yes	no	no
6975	yes	no	no	no	no
6976	yes	yes	yes	yes	yes
6977	no	yes	no	no	yes
6978	yes	yes	no	yes	no
6979	yes	yes	no	yes	yes
6980	yes	no	no	yes	no
6981	no	no	yes	no	yes
6982	no	yes	yes	yes	yes
6983	yes	yes	no	yes	no
6984	yes	no	yes	yes	yes
6985	yes	no	yes	yes	yes
6986	yes	yes	no	no	no
6987	no	yes	no	no	no
6988	yes	yes	no	yes	no
6989	yes	yes	no	yes	no
6990	no	no	yes	yes	no
6991	yes	yes	no	no	no
6992	yes	yes	yes	yes	yes
6993	yes	no	yes	yes	yes
6994	no	yes	no	no	yes
6995	yes	yes	yes	no	no
6996	yes	no	no	no	yes
6997	yes	yes	yes	no	yes
6998	no	yes	yes	no	no
6999	yes	yes	no	no	no
7000	yes	yes	yes	no	yes
7001	yes	yes	no	yes	no
7002	no	yes	no	yes	yes
7003	no	yes	no	no	no
7004	yes	yes	no	no	no
7005	yes	no	yes	yes	yes
7006	yes	no	no	yes	yes
7007	yes	yes	yes	yes	yes
7008	yes	no	no	yes	yes
7009	no	yes	no	no	no
7010	yes	yes	no	yes	no
7011	no	yes	yes	no	no
7012	no	yes	no	yes	yes
7013	no	yes	no	no	no
